rank,alias,name,basis
genus,Agopostemon,Agapostemon,spelling
genus,Ericrosis,Ericrocis,spelling
genus,Lassioglossum,Lasioglossum,spelling
genus,Peponapsis,Peponapis,spelling
genus,(Peponapis),Xenoglossa (Peponapis),the staff taxonomy list files Peponapis as a subgenus of Xenoglossa
species,Protoxaea glorioso,Protoxaea gloriosa,spelling
